year,month,author,additions,deletions
2019,1,Mike Bostock,1,1
2019,1,Mike Bostock,30,15
2018,5,denisname,11,8
2018,8,nikolas,1,1
2018,8,Mike Bostock,3,0
2018,8,Mike Bostock,1,1
2018,8,Mike Bostock,1,1
2018,8,Mike Bostock,88,84
2018,8,Mike Bostock,1,1
2018,8,Mike Bostock,157,361
2018,6,Mike Bostock,1,1
2018,6,Mike Bostock,30,33
2018,5,Mike Bostock,1,1
2018,5,Mike Bostock,4,3
2018,5,Mike Bostock,1,1
2018,5,Mike Bostock,2,2
2018,5,Mike Bostock,1,1
2018,5,Mike Bostock,6,4
2018,5,denisname,11,10
2018,4,Mike Bostock,1,1
2018,4,Mike Bostock,9,7
2018,4,Mike Bostock,1,1
2018,4,Mike Bostock,4,0
2018,4,Mike Bostock,1,1
2018,4,Mike Bostock,12,6
2018,3,Mike Bostock,1,1
2018,3,Mike Bostock,1,1
2018,3,Mike Bostock,1,1
2018,3,Mike Bostock,1,1
2018,3,Mike Bostock,1,1
2018,3,Mike Bostock,4,0
2018,3,Mike Bostock,4,4
2018,3,Mike Bostock,1,0
2018,3,Mike Bostock,36,0
2018,3,Mike Bostock,337,21
2018,2,Mike Bostock,23,29
2018,2,Mike Bostock,0,1
2018,2,Mike Bostock,91,89
2018,2,Mike Bostock,1,17
2018,1,Mike Bostock,67,67
2018,1,Mike Bostock,489,0
2018,1,Mike Bostock,8,6
2018,1,Mike Bostock,4,1
2018,1,Mike Bostock,1,1
2018,1,Mike Bostock,146,58
2018,1,Mike Bostock,1,1
2018,1,zan,1,1
2017,12,Mike Bostock,1,1
2017,12,Mike Bostock,1,1
2017,12,Mike Bostock,1,1
2017,12,Mike Bostock,5,5
2017,11,Mike Bostock,1,1
2017,11,Mike Bostock,15,11
2017,10,Mike Bostock,1,1
2017,10,Mike Bostock,20,7
2017,7,alexmacy,2,2
2017,7,alexmacy,1,1
2017,7,alexmacy,23,22
2017,9,Mike Bostock,1,1
2017,9,Mike Bostock,1,1
2017,9,Mike Bostock,1,1
2017,9,Mike Bostock,16,12
2017,9,Mike Bostock,0,511
2017,7,Mike Bostock,2,2
2017,7,Mike Bostock,530,13
2017,5,Mike Bostock,1,1
2017,5,Mike Bostock,2,2
2017,5,Mike Bostock,1,1
2017,5,Mike Bostock,32,12
2017,4,Mike Bostock,1,1
2017,4,Mike Bostock,4,3
2017,3,Mike Bostock,1,1
2017,3,Mike Bostock,1,1
2017,3,Curran Kelleher,1,1
2017,3,Mike Bostock,1,1
2017,3,Mike Bostock,1,1
2017,3,Mike Bostock,1,1
2017,3,Mike Bostock,31,31
2017,3,Mike Bostock,1,1
2017,3,Mike Bostock,3,3
2017,2,Mike Bostock,1,1
2017,2,Mike Bostock,15,13
2017,2,Mike Bostock,4,0
2017,2,Mike Bostock,1,1
2017,2,Mike Bostock,1,1
2017,2,Mike Bostock,15,15
2017,2,Mike Bostock,9,9
2017,2,Mike Bostock,1,1
2017,2,Mike Bostock,2,2
2017,2,Elena Glassman,9,9
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,2,1
2017,1,Mike Bostock,353,353
2017,1,Mike Bostock,1,4
2017,1,Micah Stubbs,3,0
2017,1,David Ollerhead,1,1
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,12,0
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,1,6
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,33,478
2017,1,Mike Bostock,1,1
2017,1,Mike Bostock,3,3
2016,11,Mike Bostock,1,1
2016,11,Mike Bostock,22,22
2016,11,Peter Lenahan,2,2
2016,11,Mike van Rossum,1,1
2016,11,Mike van Rossum,1,1
2016,11,Mike Bostock,12,0
2016,10,Mike Bostock,61,44
2016,10,Mike Bostock,1,1
2016,10,Mike Bostock,5,3
2016,10,Mike Bostock,3,3
2016,10,Mike Bostock,1,1
2016,10,Mike Bostock,1,1
2016,10,Mike Bostock,3,3
2016,10,Mike Bostock,1,1
2016,10,Mike Bostock,2,2
2016,10,Mike Bostock,9,0
2016,9,Mike Bostock,1,1
2016,9,Mike Bostock,1,1
2016,9,Mike Bostock,1,1
2016,9,Mike Bostock,1,1
2016,9,Fábio Silva,1,1
2016,9,Mike Bostock,1,1
2016,9,Mike Bostock,2,2
2016,9,Mike Bostock,0,0
2016,9,Mike Bostock,3,4
2016,9,Mike Bostock,28,0
2016,9,Mike Bostock,1,1
2016,9,Mike Bostock,9,9
2016,9,Mike Bostock,2,2
2016,8,Mike Bostock,1,1
2016,8,Mike Bostock,4,4
2016,8,Jeferson Koslowski,4,4
2016,8,Mike Bostock,1,1
2016,8,Mike Bostock,1,1
2016,8,Mike Bostock,1,1
2016,8,Mike Bostock,1,0
2016,8,Mike Bostock,1,1
2016,8,Mike Bostock,2,2
2016,8,Mike Bostock,2,2
2016,8,Mike Bostock,1,3
2016,8,Mike Bostock,13,1
2016,8,Mike Bostock,1,1
2016,8,Mike Bostock,38,57
2016,7,Mike Bostock,1,1
2016,7,Mike Bostock,14,12
2016,7,Mike Bostock,1,1
2016,7,Barrie Treloar,1,1
2016,7,william-pan,2,2
2016,7,Mike Bostock,1,1
2016,7,Mike Bostock,5,5
2016,7,Gordon Woodhull,6,6
2016,7,Dev-Lan,1,1
2016,7,Mike Bostock,1,1
2016,7,Mike Bostock,5,5
2016,7,Mike Bostock,8,0
2016,7,Mike Bostock,1,1
2016,7,Mike Bostock,44,17
2016,7,Mike Bostock,9,29
2016,7,Curran Kelleher,1,1
2016,6,Mike Bostock,2,0
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,13,16
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,900,900
2016,6,Mike Bostock,57,57
2016,6,mpersing,57,57
2016,6,Mike Bostock,25,25
2016,6,Mike Bostock,11,11
2016,6,Mike Bostock,6,6
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,64,64
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,6,5
2016,6,Mike Bostock,11,0
2016,6,Mike Bostock,1,0
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,14,14
2016,6,Mike Bostock,34,10
2016,6,Mike Bostock,16,15
2016,6,Mike Bostock,1,4
2016,6,Mike Bostock,19,19
2016,6,Mike Bostock,38,25
2016,6,Mike Bostock,7,7
2016,6,Mike Bostock,23,21
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,36,11
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,7,1
2016,6,Mike Bostock,2,4
2016,6,Mike Bostock,18,10
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,18,20
2016,6,Mike Bostock,24,22
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,29,14
2016,6,Mike Bostock,17,8
2016,6,Mike Bostock,5,0
2016,6,Mike Bostock,2,4
2016,6,Mike Bostock,24,19
2016,6,Mike Bostock,16,4
2016,6,Mike Bostock,15,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,8,10
2016,6,Mike Bostock,29,24
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,2,4
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,10,8
2016,6,Mike Bostock,33,36
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1105,1099
2016,6,Mike Bostock,3,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,53,9
2016,6,Mike Bostock,40,15
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,3,3
2016,6,Mike Bostock,12,2
2016,6,Mike Bostock,1,8
2016,6,Mike Bostock,15,6
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,9,0
2016,6,Mike Bostock,17,14
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,20,15
2016,6,Mike Bostock,2,4
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,6,4
2016,6,Mike Bostock,0,0
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,7,12
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,6,4
2016,6,Mike Bostock,6,8
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,59,23
2016,6,Mike Bostock,0,0
2016,6,Mike Bostock,1,0
2016,6,Mike Bostock,6,4
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,8
2016,6,Mike Bostock,12,7
2016,6,Mike Bostock,40,51
2016,6,Mike Bostock,4,4
2016,6,Mike Bostock,39,20
2016,6,Mike Bostock,4,4
2016,6,Mike Bostock,12,6
2016,6,Mike Bostock,32,1
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,8,34
2016,6,Mike Bostock,9,24
